customer_id,customer_name,segment,age_band,province,risk_band,created_date,snapshot_date,is_active
CUST00000001,Subash Shrestha,PREMIUM,18-24,Koshi,MEDIUM,2025-08-11,2026-01-01,true
CUST00000002,Maya Tamang,PREMIUM,45-54,Lumbini,HIGH,2019-02-09,2026-01-01,true
CUST00000003,Puja Bista,RETAIL,35-44,Madhesh,LOW,2020-06-18,2026-01-01,true
CUST00000004,Rita Bista,PREMIUM,25-34,Gandaki,MEDIUM,2020-04-23,2026-01-01,true
CUST00000005,Anika Karki,RETAIL,35-44,Bagmati,LOW,2025-08-10,2026-01-01,true
CUST00000006,Anika Poudel,STUDENT,55+,Koshi,HIGH,2020-07-14,2026-01-01,true
CUST00000007,Suman Yadav,SENIOR,35-44,Gandaki,HIGH,2021-01-07,2026-01-01,false
CUST00000008,Anika Thapa,SENIOR,45-54,Gandaki,LOW,2020-11-18,2026-01-01,false
CUST00000009,Puja Rai,RETAIL,45-54,Karnali,MEDIUM,2019-07-07,2026-01-01,false
CUST00000010,Asmita Tamang,RETAIL,45-54,Koshi,MEDIUM,2017-12-17,2026-01-01,true
CUST00000011,Ramesh Maharjan,STUDENT,35-44,Lumbini,LOW,2025-06-10,2026-01-01,false
CUST00000012,Anika Tamang,PREMIUM,18-24,Koshi,LOW,2022-06-02,2026-01-01,true
CUST00000013,Puja Poudel,RETAIL,35-44,Lumbini,MEDIUM,2023-02-06,2026-01-01,true
CUST00000014,Subash Gurung,RETAIL,18-24,Madhesh,MEDIUM,2020-04-22,2026-01-01,true
CUST00000015,Maya Gurung,SME,55+,Karnali,MEDIUM,2022-08-27,2026-01-01,true
CUST00000016,Bikash Bista,RETAIL,25-34,Lumbini,LOW,2021-10-23,2026-01-01,false
CUST00000017,Maya Tamang,STUDENT,55+,Lumbini,MEDIUM,2020-06-13,2026-01-01,true
CUST00000018,Kiran Tamang,SME,45-54,Sudurpashchim,MEDIUM,2024-11-30,2026-01-01,true
CUST00000019,Subash Gurung,RETAIL,18-24,Karnali,LOW,2023-07-20,2026-01-01,true
CUST00000020,Rita Rai,STUDENT,55+,Gandaki,LOW,2024-09-23,2026-01-01,true
CUST00000021,Bikash Tamang,PREMIUM,45-54,Madhesh,HIGH,2023-06-06,2026-01-01,true
CUST00000022,Asmita Rai,SME,25-34,Koshi,LOW,2018-09-01,2026-01-01,true
CUST00000023,Kiran Poudel,SENIOR,18-24,Lumbini,HIGH,2020-09-01,2026-01-01,true
CUST00000024,Nisha Karki,STUDENT,35-44,Koshi,LOW,2025-02-25,2026-01-01,false
CUST00000025,Aarav Rai,RETAIL,18-24,Koshi,MEDIUM,2025-06-02,2026-01-01,true
CUST00000026,Puja Rai,STUDENT,18-24,Gandaki,HIGH,2020-05-14,2026-01-01,true
CUST00000027,Anika Thapa,PREMIUM,25-34,Bagmati,LOW,2019-10-09,2026-01-01,true
CUST00000028,Nisha Karki,RETAIL,18-24,Gandaki,HIGH,2020-12-04,2026-01-01,true
CUST00000029,Asmita Maharjan,PREMIUM,18-24,Bagmati,LOW,2022-10-04,2026-01-01,true
CUST00000030,Bikash Bista,SME,45-54,Koshi,LOW,2021-01-02,2026-01-01,true
CUST00000031,Suman Bista,SENIOR,45-54,Bagmati,HIGH,2023-09-07,2026-01-01,true
CUST00000032,Asmita Yadav,STUDENT,25-34,Gandaki,LOW,2023-06-07,2026-01-01,true
CUST00000033,Ramesh Karki,SME,25-34,Sudurpashchim,LOW,2020-11-01,2026-01-01,true
CUST00000034,Maya Bista,RETAIL,35-44,Sudurpashchim,HIGH,2020-10-07,2026-01-01,true
CUST00000035,Kiran Karki,RETAIL,25-34,Karnali,MEDIUM,2020-10-02,2026-01-01,true
CUST00000036,Anika Bista,STUDENT,35-44,Gandaki,LOW,2018-04-12,2026-01-01,true
CUST00000037,Rita Poudel,PREMIUM,35-44,Koshi,LOW,2019-01-31,2026-01-01,false
CUST00000038,Ramesh Yadav,SME,35-44,Lumbini,LOW,2024-03-11,2026-01-01,true
CUST00000039,Aarav Thapa,SENIOR,45-54,Bagmati,MEDIUM,2021-10-13,2026-01-01,true
CUST00000040,Aarav Gurung,SME,55+,Sudurpashchim,LOW,2024-06-11,2026-01-01,true
CUST00000041,Suman Bista,PREMIUM,45-54,Sudurpashchim,MEDIUM,2023-12-07,2026-01-01,true
CUST00000042,Bikash Maharjan,SME,35-44,Sudurpashchim,HIGH,2024-09-06,2026-01-01,true
CUST00000043,Ramesh Thapa,RETAIL,25-34,Bagmati,LOW,2023-09-07,2026-01-01,true
CUST00000044,Asmita Gurung,SENIOR,45-54,Bagmati,HIGH,2024-08-30,2026-01-01,false
CUST00000045,Rita Bista,RETAIL,18-24,Karnali,LOW,2025-04-04,2026-01-01,true
CUST00000046,Bikash Bista,SENIOR,45-54,Madhesh,LOW,2024-06-12,2026-01-01,true
CUST00000047,Anika Karki,STUDENT,18-24,Sudurpashchim,LOW,2023-05-22,2026-01-01,true
CUST00000048,Rita Poudel,SME,45-54,Bagmati,HIGH,2020-03-09,2026-01-01,true
CUST00000049,Anika Poudel,PREMIUM,35-44,Sudurpashchim,MEDIUM,2024-01-26,2026-01-01,false
CUST00000050,Asmita Karki,STUDENT,35-44,Koshi,HIGH,2022-05-10,2026-01-01,true
CUST00000051,Bikash Tamang,RETAIL,25-34,Madhesh,LOW,2021-12-16,2026-01-01,true
CUST00000052,Suman Shrestha,PREMIUM,25-34,Sudurpashchim,LOW,2021-03-05,2026-01-01,true
CUST00000053,Maya Poudel,STUDENT,45-54,Madhesh,HIGH,2022-07-19,2026-01-01,true
CUST00000054,Maya Rai,PREMIUM,18-24,Bagmati,LOW,2020-03-07,2026-01-01,true
CUST00000055,Subash Gurung,SME,45-54,Bagmati,LOW,2023-04-19,2026-01-01,true
CUST00000056,Maya Thapa,RETAIL,18-24,Bagmati,LOW,2023-06-15,2026-01-01,true
CUST00000057,Maya Shrestha,SME,35-44,Sudurpashchim,LOW,2025-11-21,2026-01-01,false
CUST00000058,Ramesh Yadav,SENIOR,45-54,Sudurpashchim,LOW,2025-05-14,2026-01-01,false
CUST00000059,Rita Gurung,SME,35-44,Madhesh,MEDIUM,2024-07-12,2026-01-01,false
CUST00000060,Aarav Yadav,STUDENT,55+,Bagmati,HIGH,2022-05-06,2026-01-01,true
CUST00000061,Nisha Poudel,SENIOR,18-24,Sudurpashchim,LOW,2022-01-27,2026-01-01,true
CUST00000062,Subash Gurung,SME,45-54,Bagmati,HIGH,2020-05-15,2026-01-01,false
CUST00000063,Aarav Tamang,STUDENT,55+,Madhesh,LOW,2022-09-14,2026-01-01,true
CUST00000064,Puja Bista,SENIOR,25-34,Sudurpashchim,HIGH,2021-03-13,2026-01-01,false
CUST00000065,Nisha Tamang,PREMIUM,55+,Gandaki,MEDIUM,2021-07-29,2026-01-01,true
CUST00000066,Subash Shrestha,PREMIUM,25-34,Karnali,MEDIUM,2024-07-21,2026-01-01,false
CUST00000067,Kiran Shrestha,STUDENT,25-34,Gandaki,LOW,2025-04-24,2026-01-01,true
CUST00000068,Kiran Rai,STUDENT,55+,Madhesh,LOW,2021-08-09,2026-01-01,true
CUST00000069,Ramesh Rai,SME,18-24,Bagmati,MEDIUM,2025-03-15,2026-01-01,true
CUST00000070,Anika Karki,RETAIL,55+,Sudurpashchim,LOW,2023-06-05,2026-01-01,false
CUST00000071,Aarav Maharjan,SME,35-44,Lumbini,HIGH,2018-12-27,2026-01-01,false
CUST00000072,Aarav Poudel,SENIOR,45-54,Koshi,LOW,2025-08-21,2026-01-01,true
CUST00000073,Maya Bista,STUDENT,55+,Koshi,LOW,2024-10-07,2026-01-01,true
CUST00000074,Aarav Shrestha,PREMIUM,55+,Karnali,LOW,2020-09-05,2026-01-01,true
CUST00000075,Maya Thapa,SME,35-44,Sudurpashchim,HIGH,2021-04-08,2026-01-01,true
CUST00000076,Kiran Gurung,STUDENT,55+,Madhesh,HIGH,2023-04-19,2026-01-01,true
CUST00000077,Subash Shrestha,STUDENT,18-24,Karnali,HIGH,2022-03-02,2026-01-01,false
CUST00000078,Subash Bista,SME,55+,Gandaki,MEDIUM,2018-08-25,2026-01-01,true
CUST00000079,Bikash Maharjan,STUDENT,18-24,Koshi,MEDIUM,2025-06-26,2026-01-01,true
CUST00000080,Bikash Shrestha,RETAIL,18-24,Bagmati,LOW,2019-12-23,2026-01-01,true
CUST00000081,Puja Yadav,PREMIUM,45-54,Karnali,HIGH,2019-06-30,2026-01-01,true
CUST00000082,Suman Gurung,PREMIUM,18-24,Madhesh,HIGH,2021-06-09,2026-01-01,true
CUST00000083,Anika Maharjan,PREMIUM,18-24,Lumbini,MEDIUM,2018-10-28,2026-01-01,true
CUST00000084,Ramesh Yadav,SENIOR,25-34,Koshi,HIGH,2024-09-08,2026-01-01,false
CUST00000085,Suman Tamang,RETAIL,35-44,Koshi,MEDIUM,2024-12-08,2026-01-01,true
CUST00000086,Ramesh Gurung,SME,18-24,Bagmati,HIGH,2018-01-08,2026-01-01,false
CUST00000087,Ramesh Poudel,RETAIL,35-44,Lumbini,MEDIUM,2019-10-01,2026-01-01,true
CUST00000088,Bikash Thapa,PREMIUM,35-44,Karnali,HIGH,2024-12-05,2026-01-01,true
CUST00000089,Rita Thapa,STUDENT,18-24,Bagmati,HIGH,2022-10-14,2026-01-01,true
CUST00000090,Subash Karki,SME,35-44,Lumbini,LOW,2023-09-12,2026-01-01,false
CUST00000091,Maya Poudel,SENIOR,45-54,Bagmati,HIGH,2021-04-15,2026-01-01,true
CUST00000092,Anika Poudel,RETAIL,55+,Gandaki,MEDIUM,2024-09-07,2026-01-01,true
CUST00000093,Subash Tamang,STUDENT,45-54,Koshi,MEDIUM,2021-11-26,2026-01-01,true
CUST00000094,Suman Tamang,STUDENT,35-44,Bagmati,HIGH,2021-06-30,2026-01-01,true
CUST00000095,Asmita Gurung,PREMIUM,45-54,Gandaki,HIGH,2018-06-17,2026-01-01,false
CUST00000096,Subash Shrestha,PREMIUM,45-54,Bagmati,LOW,2024-09-14,2026-01-01,true
CUST00000097,Aarav Rai,RETAIL,55+,Sudurpashchim,LOW,2019-04-18,2026-01-01,true
CUST00000098,Bikash Gurung,RETAIL,45-54,Karnali,LOW,2019-06-22,2026-01-01,true
CUST00000099,Aarav Yadav,SME,35-44,Madhesh,LOW,2019-07-20,2026-01-01,false
CUST00000100,Puja Karki,STUDENT,25-34,Koshi,HIGH,2023-05-24,2026-01-01,true
CUST00000101,Maya Maharjan,SENIOR,45-54,Sudurpashchim,MEDIUM,2024-02-07,2026-01-01,true
CUST00000102,Ramesh Yadav,PREMIUM,35-44,Lumbini,LOW,2021-01-18,2026-01-01,true
CUST00000103,Ramesh Maharjan,SME,55+,Lumbini,LOW,2025-07-01,2026-01-01,true
CUST00000104,Suman Bista,STUDENT,35-44,Koshi,LOW,2018-01-12,2026-01-01,true
CUST00000105,Rita Yadav,STUDENT,25-34,Madhesh,LOW,2021-09-30,2026-01-01,false
CUST00000106,Kiran Shrestha,SENIOR,25-34,Bagmati,HIGH,2022-08-24,2026-01-01,true
CUST00000107,Aarav Shrestha,STUDENT,18-24,Gandaki,LOW,2025-03-31,2026-01-01,false
CUST00000108,Aarav Poudel,SME,25-34,Koshi,MEDIUM,2020-09-11,2026-01-01,true
CUST00000109,Anika Rai,PREMIUM,35-44,Lumbini,LOW,2022-04-20,2026-01-01,true
CUST00000110,Anika Rai,PREMIUM,55+,Gandaki,HIGH,2019-10-25,2026-01-01,false
CUST00000111,Ramesh Poudel,RETAIL,55+,Gandaki,LOW,2019-06-20,2026-01-01,true
CUST00000112,Asmita Shrestha,RETAIL,25-34,Sudurpashchim,MEDIUM,2017-12-10,2026-01-01,true
CUST00000113,Anika Tamang,STUDENT,18-24,Lumbini,LOW,2019-05-12,2026-01-01,true
CUST00000114,Anika Bista,STUDENT,55+,Karnali,LOW,2025-05-28,2026-01-01,true
CUST00000115,Bikash Gurung,PREMIUM,25-34,Madhesh,LOW,2023-03-09,2026-01-01,true
CUST00000116,Puja Rai,SME,35-44,Bagmati,HIGH,2023-07-29,2026-01-01,true
CUST00000117,Aarav Tamang,RETAIL,18-24,Gandaki,MEDIUM,2020-09-04,2026-01-01,true
CUST00000118,Rita Yadav,STUDENT,35-44,Koshi,MEDIUM,2023-04-04,2026-01-01,true
CUST00000119,Nisha Maharjan,SME,18-24,Gandaki,LOW,2020-02-07,2026-01-01,false
CUST00000120,Bikash Thapa,RETAIL,25-34,Koshi,LOW,2023-08-14,2026-01-01,true
CUST00000121,Anika Poudel,RETAIL,25-34,Madhesh,MEDIUM,2024-08-13,2026-01-01,true
CUST00000122,Maya Maharjan,STUDENT,55+,Karnali,LOW,2018-02-16,2026-01-01,false
CUST00000123,Rita Yadav,RETAIL,18-24,Koshi,MEDIUM,2024-09-08,2026-01-01,true
CUST00000124,Bikash Shrestha,RETAIL,18-24,Sudurpashchim,LOW,2025-05-18,2026-01-01,false
CUST00000125,Puja Rai,STUDENT,45-54,Karnali,LOW,2021-06-24,2026-01-01,true
CUST00000126,Maya Thapa,STUDENT,25-34,Gandaki,HIGH,2021-11-27,2026-01-01,true
CUST00000127,Anika Yadav,SENIOR,18-24,Karnali,MEDIUM,2019-10-27,2026-01-01,true
CUST00000128,Maya Tamang,SENIOR,55+,Lumbini,MEDIUM,2020-03-14,2026-01-01,true
CUST00000129,Puja Gurung,STUDENT,55+,Sudurpashchim,MEDIUM,2020-10-23,2026-01-01,true
CUST00000130,Asmita Bista,PREMIUM,18-24,Sudurpashchim,LOW,2019-07-10,2026-01-01,true
CUST00000131,Kiran Poudel,STUDENT,18-24,Koshi,LOW,2019-12-05,2026-01-01,true
